state,year,county,pt_wgwto,pt_wswto,pt_wtotl,pt_cutot,po_wgwto,po_wswto,po_wtotl,po_cutot,pc_wgwto,pc_wswto,pc_wtotl,pc_cutot
CA,1995,Butte County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Butte County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Butte County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Calaveras County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,Calaveras County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,Calaveras County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Calaveras County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Calaveras County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Calaveras County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Calaveras County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Colusa County,0.28,0,0.28,0.2,0,0,0,0,0.28,0,0.28,0.2
CA,2010,Colusa County,0.52,0,0.52,1.53,0,0,0,0,0.52,0,0.52,1.78
CA,2005,Colusa County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Colusa County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Colusa County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Colusa County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Colusa County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Contra Costa County,0.89,17.62,18.51,4.21,0,17.57,17.57,0.19,0.89,0.05,0.94,4.02
CA,2010,Contra Costa County,1.09,49.5,50.59,1.53,0.73,48.46,49.19,0,0.36,1.04,1.4,1.78
CA,2005,Contra Costa County,0,1338.86,1338.86,1.53,0,1323.67,1323.67,0,0,15.19,15.19,1.78
CA,2000,Contra Costa County,0.77,976.23,976.23,1.53,0.01,976.23,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Contra Costa County,0,554,554,2.81,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Contra Costa County,0.77,1001.81,1001.81,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1985,Contra Costa County,0.77,1192.55,1192.55,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,2015,Del Norte County,0,0,0,0,0,0,0,0,0,0,0,0
CA,2010,Del Norte County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2005,Del Norte County,0,0,0,1.53,0,0,0,0,0,0,0,1.78
CA,2000,Del Norte County,0.77,0,0,1.53,0.01,0,30.87,0,0.82,1.05,1.86,1.78
CA,1995,Del Norte County,0,0,0,0,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
CA,1990,Del Norte County,0.77,0,0,1.53,0.01,36.99,30.87,0,0.82,1.05,1.86,1.78
